,Name,Punktzahl,Quiz Bearbeitungsdauer,Anzahl Versuche,Fach,Klasse,Aufgabe,Allgemein,Quiz Startzeit,Alle Fächer,Quiz Abgabezeit,Maximale Punktzahl,Maximale Note in %,Beste Punktzahl in %
0,Risa Kramer,,0 days 00:37:10,1,Deutsch,Klasse 1a,Deutsch Aufgabe 1,Allgemein,2023-08-29 21:29:20,Alle Fächer,2023-08-29 22:06:30,100,100,
1,Jelani Patel,52.0,0 days 00:11:40,3,Englisch,Klasse 1a,Englisch Aufgabe 2,Allgemein,2023-08-22 19:44:39,Alle Fächer,2023-08-22 19:56:19,100,100,52.0
2,Vaughan Craig,25.0,0 days 00:44:00,3,Mathematik,Klasse 3b,Mathematik Aufgabe 3,Allgemein,2023-08-12 16:40:11,Alle Fächer,2023-08-12 17:24:11,100,100,25.0
3,Robin Cline,21.0,0 days 00:50:09,2,Biologie,Klasse 3b,Biologie Aufgabe 4,Allgemein,2023-08-06 05:50:36,Alle Fächer,2023-08-06 06:40:45,100,100,21.0
4,Wyoming Thomas,24.0,0 days 01:10:34,2,Musik,Klasse 8.2,Musik Aufgabe 5,Allgemein,2023-08-19 14:10:22,Alle Fächer,2023-08-19 15:20:56,100,100,24.0
5,Kevin Dennis,11.0,0 days 00:14:02,3,Kunst,Klasse 1a,Kunst Aufgabe 6,Allgemein,2023-08-17 01:17:59,Alle Fächer,2023-08-17 01:32:01,100,100,11.0
6,Julie Valentine,69.0,0 days 00:21:26,3,Sport,Klasse 1a,Sport Aufgabe 1,Allgemein,2023-08-19 06:30:47,Alle Fächer,2023-08-19 06:52:13,100,100,69.0
7,Jaden Mendez,49.0,0 days 01:13:07,2,Deutsch,Klasse 3b,Deutsch Aufgabe 2,Allgemein,2023-08-09 22:44:17,Alle Fächer,2023-08-09 23:57:24,100,100,49.0
8,Illana Moreno,73.0,0 days 00:00:31,2,Englisch,Klasse 3b,Englisch Aufgabe 3,Allgemein,2023-08-28 13:01:34,Alle Fächer,2023-08-28 13:02:05,100,100,73.0
9,Chastity Whitehead,91.0,0 days 00:42:52,1,Mathematik,Klasse 8.2,Mathematik Aufgabe 4,Allgemein,2023-08-03 03:27:36,Alle Fächer,2023-08-03 04:10:28,100,100,91.0
